Column Name,Data Type,Non-Null Count,Null Count
URL,object,1465,0
Title,object,1465,0
Localisation,object,1465,0
Price,object,1465,0
Chambre,object,1465,0
Salle de bain,int64,1465,0
Type,object,1463,2
Secteur,object,1465,0
Salons,float64,1432,33
Surface habitable,float64,1440,25
Age de bien,object,1183,282
Etage,object,1459,6
Frais de syndic,float64,536,929
Ascenseur,object,1465,0
Balcon,object,1465,0
Chauffage,object,1465,0
Climatisation,object,1465,0
Concierge,object,1465,0
Cuisine equipee,object,1465,0
Duplex,object,1465,0
Meuble,object,1465,0
Parking,object,1465,0
Securite,object,1465,0
Terrasse,object,1465,0
