URL,Title,Localisation,Price,Chambre,Salle de bain,Type,Secteur,Salons,Surface habitable,Age de bien,Etage,Frais de syndic,Ascenseur,Balcon,Chauffage,Climatisation,Concierge,Cuisine equipee,Duplex,Meuble,Parking,Securite,Terrasse
https://www.avito.ma/fr/quartier_de_l'oc%C3%A9an/appartements/RBA_HA_1054___Appartement_%C3%A0_vendre_%C3%A0_L_Ocean_54936810.htm,RBA-HA-1054 - Appartement à vendre à L'Ocean,Rabat,1 200 000 DH,1,1,Vendre,Quartier de l'Océan,,84.0,,5,,oui,oui,non,non,non,non,non,non,oui,non,oui
https://www.avito.ma/fr/guich_oudaya/appartements/RBA_SKH_TE_1053___Appartement_%C3%A0_vendre_%C3%A0_Guich_O____54932352.htm,RBA-SKH-TE-1053 - Appartement à vendre à Guich O...,Rabat,1 750 000 DH,3,2,Vendre,Guich Oudaya,,,,2,,non,oui,non,non,non,non,non,non,non,non,oui
https://www.avito.ma/fr/hay_mohammadi/appartements/Appartement_%C3%A0_vendre_63_m%C2%B2_%C3%A0_Agadir_55682805.htm,Appartement à vendre 63 m² à Agadir,Agadir,600 000 DH,2,1,Vendre,Hay Mohammadi,1.0,60.0,11-20 ans,3,,non,non,non,non,non,non,non,non,non,non,non
https://www.avito.ma/fr/dar_bouazza/appartements/Appartement_%C3%A0_vendre_81_m%C2%B2_%C3%A0_Dar_Bouazza_55714260.htm,Appartement à vendre 81 m² à Dar Bouazza,Dar Bouazza,1 350 000 DH,2,2,Vendre,Toute la ville,1.0,81.0,Neuf,1,,non,non,non,non,non,non,non,non,non,non,non
https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appartement_81_m%C2%B2_avec_piscine_a_gueliz_33066805.htm,Appartement 81 m² avec piscine a gueliz,Marrakech,769 500 DH,2,1,Vendre,Guéliz,1.0,81.0,,3,300.0,oui,non,non,non,non,non,non,non,oui,non,non
https://www.avito.ma/fr/a%C3%AFn_diab/appartements/Appartement_%C3%A0_vendre_142_m%C2%B2_%C3%A0_Casablanca_50507466.htm,Appartement à vendre 142 m² à Casablanca,Casablanca,6 000 000 DH,2,3,Vendre,Aïn Diab,1.0,142.0,1-5 ans,8,1.0,oui,oui,oui,oui,oui,non,non,non,oui,non,oui
https://www.avito.ma/fr/centre_ville/appartements/Appartement_%C3%A0_vendre_82_m%C2%B2_%C3%A0_Temara_55690519.htm,Appartement à vendre 82 m² à Temara,Temara,660 000 DH,2,1,Vendre,Centre Ville,1.0,82.0,11-20 ans,1,100.0,non,oui,non,non,oui,non,non,non,non,non,non
https://www.avito.ma/fr/hay_salam/appartements/Appartement_%C3%A0_vendre_78_m%C2%B2_%C3%A0_Agadir_54949904.htm,Appartement à vendre 78 m² à Agadir,Agadir,570 000 DH,2,1,Vendre,Hay Salam,1.0,78.0,,3,,non,oui,non,non,non,non,non,non,non,non,non
https://www.avito.ma/fr/massira_1/appartements/Appartement_a_vendre__%C3%A0_Temara_54659150.htm,Appartement a vendre à Temara,Temara,1 480 000 DH,3,1,Vendre,Massira 1,1.0,148.0,11-20 ans,1,,non,oui,non,non,non,non,non,non,oui,non,non
https://www.avito.ma/fr/2_mars/appartements/Appartement_%C3%A0_vendre_111_m%C2%B2_%C3%A0_Casablanca_55218668.htm,Appartement à vendre 111 m² à Casablanca,Casablanca,1 450 000 DH,2,2,Vendre,2 Mars,2.0,111.0,6-10 ans,3,,oui,oui,non,non,oui,non,non,non,oui,non,non
https://www.avito.ma/fr/dar_bouazza/appartements/Appartement_%C3%A0_vendre_100_m%C2%B2_%C3%A0_Dar_Bouazza_54833290.htm,Appartement à vendre 100 m² à Dar Bouazza,Dar Bouazza,PRIX NON SPÉCIFIÉ,2,2,Vendre,Toute la ville,1.0,100.0,Neuf,1,,non,non,non,non,non,non,non,non,non,non,non
https://www.avito.ma/fr/autre_secteur/appartements/Appart_a_vendre_avec_garage__%C3%A0_Bouznika_52394624.htm,Appart a vendre avec garage à Bouznika,Bouznika,760 000 DH,4,1,Vendre,Autre secteur,2.0,160.0,Neuf,1,,oui,non,non,non,non,non,non,non,non,non,oui
https://www.avito.ma/fr/assam/appartements/Appartement_%C3%A0_vendre_67_m%C2%B2_%C3%A0_K%C3%A9nitra_48757649.htm,Appartement à vendre 67 m² à Kénitra,Kénitra,390 000 DH,2,1,Vendre,Assam,1.0,67.0,Neuf,2,,oui,non,non,non,oui,non,non,non,oui,non,oui
https://www.avito.ma/fr/sidi_allal_el_bahraoui/appartements/Appartement_a_vendre_a_Menzeh_Sidi_Allal_Bahraoui_55728744.htm,Appartement a vendre a Menzeh Sidi Allal Bahraoui,Sidi Allal El Bahraoui,PRIX NON SPÉCIFIÉ,2,1,Vendre,Toute la ville,2.0,70.0,6-10 ans,1,,non,non,non,non,non,non,non,non,non,non,non
https://www.avito.ma/fr/nassim/appartements/appartement_a_vendre__55628254.htm,appartement a vendre,Mohammedia,380 000 DH,2,1,Vendre,Nassim,1.0,60.0,,4,,non,non,non,non,non,non,non,non,non,non,non
https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appartement_59_m%C2%B2_avec_piscine_%C3%A0_gueliz_33163327.htm,Appartement 59 m² avec piscine à gueliz,Marrakech,590 000 DH,1,1,Vendre,Guéliz,1.0,59.0,,1,300.0,non,non,non,non,non,non,non,non,non,non,non
https://www.avito.ma/fr/ahlane/appartements/Appartement_%C3%A0_vendre_69_m%C2%B2_%C3%A0_Tanger_55685518.htm,Appartement à vendre 69 m² à Tanger,Tanger,11 500 DH,2,1,Vendre,Ahlane,1.0,69.0,Neuf,1,,non,non,non,non,non,non,non,non,non,non,non
https://www.avito.ma/fr/autre_secteur/appartements/Appartement__90_m%C2%B2_mhamid_7_1etage__55124168.htm,Appartement 90 m² mhamid 7 1etage,Marrakech,630 000 DH,3,1,Vendre,Autre secteur,2.0,90.0,Neuf,1,,non,non,non,oui,non,non,non,non,non,non,oui
https://www.avito.ma/fr/branes_kdima/appartements/Superbe_appartement_meubl%C3%A9_pour_vente_54267789.htm,Superbe appartement meublé pour vente,Tanger,1 400 000 DH,2,1,Vendre,Branes Kdima,1.0,78.0,Neuf,5,,non,non,non,non,non,non,non,non,non,non,non
https://www.avito.ma/fr/ain_sebaa/appartements/Appartement_%C3%A0_vendre_78_m%C2%B2_%C3%A0_Casablanca_55175180.htm,Appartement à vendre 78 m² à Casablanca,Casablanca,950 000 DH,2,2,Vendre,Ain Sebaa,1.0,78.0,6-10 ans,4,200.0,oui,oui,non,oui,oui,non,non,non,oui,non,oui
